verse,alt,no.
"“He administers justice for the fatherless and the widow, and loves the stranger, giving him food and clothing.” 
                                                Read more about this verse.",0,1
,1,2
"“How precious is Your lovingkindness, O God! Therefore the children of men put their trust under the shadow of Your wings.” ",0,3
,1,4
"“Because Your lovingkindness is better than life, my lips shall praise You.” ",0,5
,1,6
"“As a father pities his children, so the LORD pities those who fear Him. For He knows our frame; He remembers that we are dust.” ",0,7
,1,8
"“I will worship toward Your holy temple, and praise Your name for Your lovingkindness and Your truth; for You have magnified Your word above all Your name.” ",0,9
,1,10
"“The LORD has appeared of old to me, saying, ‘Yes, I have loved you with an everlasting love; therefore with lovingkindness I have drawn you.’” 
                                                Read more about this verse.",0,11
,1,12
"“The LORD your God in your midst, the Mighty One, will save; He will rejoice over you with gladness, He will quiet you with His love, He will rejoice over you with singing.” ",0,13
,1,14
"“Now hope does not disappoint, because the love of God has been poured out in our hearts by the Holy Spirit [which] was given to us.” 
                                                Read more about this verse.",0,15
,1,16
"“But God demonstrates His own love toward us, in that while we were still sinners, Christ died for us.” 
                                                Read more about this verse.",0,17
,1,18
"“And we know that all things work together for good to those who love God, to those who are the called according to His purpose. ",0,19
,1,20
"“Who shall separate us from the love of Christ? Shall tribulation, or distress, or persecution, or famine, or nakedness, or peril, or sword?” ",0,21
,1,22
"“Yet in all these things we are more than conquerors through Him who loved us. For I am persuaded that neither death nor life, nor angels nor principalities nor powers, nor things present nor things to come, nor height nor depth, nor any other created thing, shall be able to separate us from the love of God which is in Christ Jesus our Lord.” ",0,23
,1,24
"“But as it is written: ‘Eye has not seen, nor ear heard, nor have entered into the heart of man the things which God has prepared for those who love Him.’” 
                                                Read more about this verse.",0,25
,1,26
"“But God, who is rich in mercy, because of His great love with which He loved us…” 
                                                Read more about this verse.",0,27
,1,28
"“To know the love of Christ which passes knowledge; that you may be filled with all the fullness of God.” 
                                                Read more about this verse.",0,29
,1,30
"“And walk in love, as Christ also has loved us and given Himself for us, an offering and a sacrifice to God for a sweet-smelling aroma.” ",0,31
,1,32
"“Therefore humble yourselves under the mighty hand of God, that He may exalt you in due time, casting all your care upon Him, for He cares for you.” ",0,33
,1,34
"“If we confess our sins, He is faithful and just to forgive us our sins and to cleanse us from all unrighteousness.” 
                                                Read more about this verse.",0,35
,1,36
"“Behold what manner of love the Father has bestowed on us, that we should be called children of God! Therefore the world does not know us, because it did not know Him.” ",0,37
,1,38
"“He who does not love does not know God, for God is love. In this the love of God was manifested toward us, that God has sent His only begotten Son into the world, that we might live through Him. In this is love, not that we loved God, but that He loved us and sent His Son to be the propitiation for our sins.” ",0,39
,1,40
"“And we have known and believed the love that God has for us. God is love, and he who abides in love abides in God, and God in him.” ",0,41
